Fecha,Hora,Variable,Valor,Unidad,Lugar
42741,13,Velocidad del viento,5.57,m/s,Punta Betin
42741,14,Velocidad del viento,6.83,m/s,Punta Betin
42741,15,Velocidad del viento,5.82,m/s,Punta Betin
42741,16,Velocidad del viento,4.73,m/s,Punta Betin
42741,17,Velocidad del viento,4.3,m/s,Punta Betin
42741,18,Velocidad del viento,5.08,m/s,Punta Betin
42741,19,Velocidad del viento,3.5,m/s,Punta Betin
42741,20,Velocidad del viento,3.22,m/s,Punta Betin
42741,21,Velocidad del viento,3.85,m/s,Punta Betin
42741,22,Velocidad del viento,6.65,m/s,Punta Betin
42741,23,Velocidad del viento,7.05,m/s,Punta Betin
42742,0,Velocidad del viento,4.38,m/s,Punta Betin
42742,1,Velocidad del viento,3.6,m/s,Punta Betin
42742,2,Velocidad del viento,2.93,m/s,Punta Betin
42742,3,Velocidad del viento,2.9,m/s,Punta Betin
42742,4,Velocidad del viento,1.92,m/s,Punta Betin
42742,5,Velocidad del viento,2.48,m/s,Punta Betin
42742,6,Velocidad del viento,2.95,m/s,Punta Betin
42742,7,Velocidad del viento,4.17,m/s,Punta Betin
42742,8,Velocidad del viento,4.13,m/s,Punta Betin
42742,9,Velocidad del viento,6.35,m/s,Punta Betin
42742,10,Velocidad del viento,4.37,m/s,Punta Betin
42742,11,Velocidad del viento,5.2,m/s,Punta Betin
42742,12,Velocidad del viento,4.28,m/s,Punta Betin
42742,13,Velocidad del viento,3.62,m/s,Punta Betin
42742,14,Velocidad del viento,4.75,m/s,Punta Betin
42742,15,Velocidad del viento,4.62,m/s,Punta Betin
42742,16,Velocidad del viento,3.55,m/s,Punta Betin
42742,17,Velocidad del viento,3.2,m/s,Punta Betin
42742,18,Velocidad del viento,3.05,m/s,Punta Betin
42742,19,Velocidad del viento,3.9,m/s,Punta Betin
42742,20,Velocidad del viento,5.38,m/s,Punta Betin
42742,21,Velocidad del viento,3.95,m/s,Punta Betin
42742,22,Velocidad del viento,6.22,m/s,Punta Betin
42742,23,Velocidad del viento,2.25,m/s,Punta Betin
42743,0,Velocidad del viento,1.82,m/s,Punta Betin
42743,1,Velocidad del viento,2.43,m/s,Punta Betin
42743,2,Velocidad del viento,2.6,m/s,Punta Betin
42743,3,Velocidad del viento,1.5,m/s,Punta Betin
42743,4,Velocidad del viento,2.87,m/s,Punta Betin
42743,5,Velocidad del viento,3.27,m/s,Punta Betin
42743,6,Velocidad del viento,5.7,m/s,Punta Betin
42743,7,Velocidad del viento,7.67,m/s,Punta Betin
42743,8,Velocidad del viento,10.4,m/s,Punta Betin
42743,9,Velocidad del viento,12.47,m/s,Punta Betin
42743,10,Velocidad del viento,9.88,m/s,Punta Betin
42743,11,Velocidad del viento,10.08,m/s,Punta Betin
42743,12,Velocidad del viento,11.53,m/s,Punta Betin
42743,13,Velocidad del viento,12.47,m/s,Punta Betin
42743,14,Velocidad del viento,10.62,m/s,Punta Betin
42743,15,Velocidad del viento,10.37,m/s,Punta Betin
42743,16,Velocidad del viento,9.83,m/s,Punta Betin
42743,17,Velocidad del viento,10.15,m/s,Punta Betin
42743,18,Velocidad del viento,11.12,m/s,Punta Betin
42743,19,Velocidad del viento,10.97,m/s,Punta Betin
42743,20,Velocidad del viento,12.47,m/s,Punta Betin
42743,21,Velocidad del viento,11.97,m/s,Punta Betin
42743,22,Velocidad del viento,11.5,m/s,Punta Betin
42743,23,Velocidad del viento,12.32,m/s,Punta Betin
42744,0,Velocidad del viento,13,m/s,Punta Betin
42744,1,Velocidad del viento,13.03,m/s,Punta Betin
42744,2,Velocidad del viento,10.8,m/s,Punta Betin
42744,3,Velocidad del viento,10.58,m/s,Punta Betin
42744,4,Velocidad del viento,11.73,m/s,Punta Betin
42744,5,Velocidad del viento,12.07,m/s,Punta Betin
42744,6,Velocidad del viento,11.85,m/s,Punta Betin
42744,7,Velocidad del viento,12.63,m/s,Punta Betin
42744,8,Velocidad del viento,13,m/s,Punta Betin
42744,9,Velocidad del viento,11.5,m/s,Punta Betin
42744,10,Velocidad del viento,11.08,m/s,Punta Betin
42744,11,Velocidad del viento,11.48,m/s,Punta Betin
42744,12,Velocidad del viento,11.07,m/s,Punta Betin
42744,13,Velocidad del viento,13.33,m/s,Punta Betin
42744,14,Velocidad del viento,11.12,m/s,Punta Betin
42744,15,Velocidad del viento,9.85,m/s,Punta Betin
42744,16,Velocidad del viento,10.38,m/s,Punta Betin
42744,17,Velocidad del viento,10.03,m/s,Punta Betin
42744,18,Velocidad del viento,8.72,m/s,Punta Betin
42744,19,Velocidad del viento,8.73,m/s,Punta Betin
42744,20,Velocidad del viento,10.42,m/s,Punta Betin
42744,21,Velocidad del viento,10.12,m/s,Punta Betin
42744,22,Velocidad del viento,11.07,m/s,Punta Betin
42744,23,Velocidad del viento,9.92,m/s,Punta Betin
42745,0,Velocidad del viento,9.12,m/s,Punta Betin
42745,1,Velocidad del viento,12.23,m/s,Punta Betin
42745,2,Velocidad del viento,13.37,m/s,Punta Betin
42745,3,Velocidad del viento,12.32,m/s,Punta Betin
42745,4,Velocidad del viento,12.05,m/s,Punta Betin
42745,5,Velocidad del viento,12.83,m/s,Punta Betin
42745,6,Velocidad del viento,13.15,m/s,Punta Betin
42745,7,Velocidad del viento,13.2,m/s,Punta Betin
42745,8,Velocidad del viento,11.97,m/s,Punta Betin
42745,9,Velocidad del viento,11.75,m/s,Punta Betin
42745,10,Velocidad del viento,11.33,m/s,Punta Betin
42745,11,Velocidad del viento,12.78,m/s,Punta Betin
42745,12,Velocidad del viento,13.2,m/s,Punta Betin
42745,13,Velocidad del viento,12.2,m/s,Punta Betin
42745,14,Velocidad del viento,10.93,m/s,Punta Betin
42745,15,Velocidad del viento,11.48,m/s,Punta Betin
42745,16,Velocidad del viento,10.77,m/s,Punta Betin
42745,17,Velocidad del viento,11.88,m/s,Punta Betin
42745,18,Velocidad del viento,12.12,m/s,Punta Betin
42745,19,Velocidad del viento,11.08,m/s,Punta Betin
42745,20,Velocidad del viento,9.4,m/s,Punta Betin
42745,21,Velocidad del viento,8.33,m/s,Punta Betin
42745,22,Velocidad del viento,10.07,m/s,Punta Betin
42745,23,Velocidad del viento,12.48,m/s,Punta Betin
42746,0,Velocidad del viento,11.57,m/s,Punta Betin
42746,1,Velocidad del viento,10.75,m/s,Punta Betin
42746,2,Velocidad del viento,10.78,m/s,Punta Betin
42746,3,Velocidad del viento,11.02,m/s,Punta Betin
42746,4,Velocidad del viento,12.1,m/s,Punta Betin
42746,5,Velocidad del viento,12.37,m/s,Punta Betin
42746,6,Velocidad del viento,11.13,m/s,Punta Betin
42746,7,Velocidad del viento,9.33,m/s,Punta Betin
42746,8,Velocidad del viento,10.33,m/s,Punta Betin
42746,9,Velocidad del viento,11.23,m/s,Punta Betin
42746,10,Velocidad del viento,12.08,m/s,Punta Betin
42746,11,Velocidad del viento,10.18,m/s,Punta Betin
42746,12,Velocidad del viento,7.13,m/s,Punta Betin
42746,13,Velocidad del viento,6.87,m/s,Punta Betin
42746,14,Velocidad del viento,7.77,m/s,Punta Betin
42746,15,Velocidad del viento,9.9,m/s,Punta Betin
42746,16,Velocidad del viento,11.77,m/s,Punta Betin
42746,17,Velocidad del viento,12.88,m/s,Punta Betin
42746,18,Velocidad del viento,12.37,m/s,Punta Betin
42746,19,Velocidad del viento,12.38,m/s,Punta Betin
42746,20,Velocidad del viento,11.28,m/s,Punta Betin
42746,21,Velocidad del viento,10.47,m/s,Punta Betin
42746,22,Velocidad del viento,9.72,m/s,Punta Betin
42746,23,Velocidad del viento,10.42,m/s,Punta Betin
42747,0,Velocidad del viento,11.82,m/s,Punta Betin
42747,1,Velocidad del viento,11.6,m/s,Punta Betin
42747,2,Velocidad del viento,12.88,m/s,Punta Betin
42747,3,Velocidad del viento,14.9,m/s,Punta Betin
42747,4,Velocidad del viento,15.3,m/s,Punta Betin
42747,5,Velocidad del viento,12.93,m/s,Punta Betin
42747,6,Velocidad del viento,12.93,m/s,Punta Betin
42747,7,Velocidad del viento,13.62,m/s,Punta Betin
42747,8,Velocidad del viento,15.38,m/s,Punta Betin
42747,9,Velocidad del viento,15.43,m/s,Punta Betin
42747,10,Velocidad del viento,11.67,m/s,Punta Betin
42747,11,Velocidad del viento,10.52,m/s,Punta Betin
42747,12,Velocidad del viento,10.68,m/s,Punta Betin
42747,13,Velocidad del viento,9.02,m/s,Punta Betin
42747,14,Velocidad del viento,9.48,m/s,Punta Betin
42747,15,Velocidad del viento,8.43,m/s,Punta Betin
42747,16,Velocidad del viento,9.08,m/s,Punta Betin
42747,17,Velocidad del viento,9.88,m/s,Punta Betin
42747,18,Velocidad del viento,10.5,m/s,Punta Betin
42747,19,Velocidad del viento,11.4,m/s,Punta Betin
42747,20,Velocidad del viento,12.48,m/s,Punta Betin
42747,21,Velocidad del viento,11.13,m/s,Punta Betin
42747,22,Velocidad del viento,11.35,m/s,Punta Betin
42747,23,Velocidad del viento,12.07,m/s,Punta Betin
42748,0,Velocidad del viento,12.05,m/s,Punta Betin
42748,1,Velocidad del viento,12.5,m/s,Punta Betin
42748,2,Velocidad del viento,12.3,m/s,Punta Betin
42748,3,Velocidad del viento,12.02,m/s,Punta Betin
42748,4,Velocidad del viento,13.73,m/s,Punta Betin
42748,5,Velocidad del viento,12.32,m/s,Punta Betin
42748,6,Velocidad del viento,12.68,m/s,Punta Betin
42748,7,Velocidad del viento,13.15,m/s,Punta Betin
42748,8,Velocidad del viento,12.83,m/s,Punta Betin
42748,9,Velocidad del viento,12.78,m/s,Punta Betin
42748,10,Velocidad del viento,12.77,m/s,Punta Betin
42748,11,Velocidad del viento,12.32,m/s,Punta Betin
42748,12,Velocidad del viento,12.08,m/s,Punta Betin
42748,13,Velocidad del viento,11.27,m/s,Punta Betin
42748,14,Velocidad del viento,12.92,m/s,Punta Betin
42748,15,Velocidad del viento,11.83,m/s,Punta Betin
42748,16,Velocidad del viento,9.45,m/s,Punta Betin
42748,17,Velocidad del viento,10.28,m/s,Punta Betin
42748,18,Velocidad del viento,11.15,m/s,Punta Betin
42748,19,Velocidad del viento,10.47,m/s,Punta Betin
42748,20,Velocidad del viento,11.3,m/s,Punta Betin
42748,21,Velocidad del viento,11.7,m/s,Punta Betin
42748,22,Velocidad del viento,12.12,m/s,Punta Betin
42748,23,Velocidad del viento,12.7,m/s,Punta Betin
42749,0,Velocidad del viento,12.77,m/s,Punta Betin
42749,1,Velocidad del viento,11.98,m/s,Punta Betin
42749,2,Velocidad del viento,12.22,m/s,Punta Betin
42749,3,Velocidad del viento,11.38,m/s,Punta Betin
42749,4,Velocidad del viento,11.47,m/s,Punta Betin
42749,5,Velocidad del viento,10.75,m/s,Punta Betin
42749,6,Velocidad del viento,11.18,m/s,Punta Betin
42749,7,Velocidad del viento,12.58,m/s,Punta Betin
42749,8,Velocidad del viento,12.58,m/s,Punta Betin
42749,9,Velocidad del viento,11.7,m/s,Punta Betin
42749,10,Velocidad del viento,12.22,m/s,Punta Betin
42749,11,Velocidad del viento,11.67,m/s,Punta Betin
42749,12,Velocidad del viento,9.88,m/s,Punta Betin
42749,13,Velocidad del viento,9.03,m/s,Punta Betin
42749,14,Velocidad del viento,8.08,m/s,Punta Betin
42749,15,Velocidad del viento,9.42,m/s,Punta Betin
42749,16,Velocidad del viento,10.87,m/s,Punta Betin
42749,17,Velocidad del viento,10.1,m/s,Punta Betin
42749,18,Velocidad del viento,10.43,m/s,Punta Betin
42749,19,Velocidad del viento,9.72,m/s,Punta Betin
42749,20,Velocidad del viento,10.65,m/s,Punta Betin
42749,21,Velocidad del viento,10.83,m/s,Punta Betin
42749,22,Velocidad del viento,12.13,m/s,Punta Betin
42749,23,Velocidad del viento,13.63,m/s,Punta Betin
42750,0,Velocidad del viento,13.17,m/s,Punta Betin
42750,1,Velocidad del viento,12.35,m/s,Punta Betin
42750,2,Velocidad del viento,11.37,m/s,Punta Betin
42750,3,Velocidad del viento,11,m/s,Punta Betin
42750,4,Velocidad del viento,10.33,m/s,Punta Betin
42750,5,Velocidad del viento,11.4,m/s,Punta Betin
42750,6,Velocidad del viento,9.7,m/s,Punta Betin
42750,7,Velocidad del viento,8.15,m/s,Punta Betin
42750,8,Velocidad del viento,11.77,m/s,Punta Betin
42750,9,Velocidad del viento,9.53,m/s,Punta Betin
42750,10,Velocidad del viento,9.43,m/s,Punta Betin
42750,11,Velocidad del viento,8.1,m/s,Punta Betin
42750,12,Velocidad del viento,6.55,m/s,Punta Betin
42750,13,Velocidad del viento,6.9,m/s,Punta Betin
42750,14,Velocidad del viento,6.65,m/s,Punta Betin
42750,15,Velocidad del viento,8.13,m/s,Punta Betin
42750,16,Velocidad del viento,9.77,m/s,Punta Betin
42750,17,Velocidad del viento,10.68,m/s,Punta Betin
42750,18,Velocidad del viento,9.13,m/s,Punta Betin
42750,19,Velocidad del viento,9.17,m/s,Punta Betin
42750,20,Velocidad del viento,10.58,m/s,Punta Betin
42750,21,Velocidad del viento,10.6,m/s,Punta Betin
42750,22,Velocidad del viento,8.2,m/s,Punta Betin
42750,23,Velocidad del viento,10,m/s,Punta Betin
42751,0,Velocidad del viento,9.65,m/s,Punta Betin
42751,1,Velocidad del viento,10.52,m/s,Punta Betin
42751,2,Velocidad del viento,11.02,m/s,Punta Betin
42751,3,Velocidad del viento,12.9,m/s,Punta Betin
42751,4,Velocidad del viento,10.8,m/s,Punta Betin
42751,5,Velocidad del viento,9.62,m/s,Punta Betin
42751,6,Velocidad del viento,8.68,m/s,Punta Betin
42751,7,Velocidad del viento,6.2,m/s,Punta Betin
42751,8,Velocidad del viento,7.28,m/s,Punta Betin
42751,9,Velocidad del viento,8.03,m/s,Punta Betin
42751,10,Velocidad del viento,10.17,m/s,Punta Betin
42751,11,Velocidad del viento,8.78,m/s,Punta Betin
42751,12,Velocidad del viento,8.97,m/s,Punta Betin
42751,13,Velocidad del viento,10.77,m/s,Punta Betin
42751,14,Velocidad del viento,9.65,m/s,Punta Betin
42751,15,Velocidad del viento,9.23,m/s,Punta Betin
42751,16,Velocidad del viento,10.53,m/s,Punta Betin
42751,17,Velocidad del viento,10.42,m/s,Punta Betin
42751,18,Velocidad del viento,9.03,m/s,Punta Betin
42751,19,Velocidad del viento,10.22,m/s,Punta Betin
42751,20,Velocidad del viento,11.42,m/s,Punta Betin
42751,21,Velocidad del viento,13.05,m/s,Punta Betin
42751,22,Velocidad del viento,13.43,m/s,Punta Betin
42751,23,Velocidad del viento,12.78,m/s,Punta Betin
42752,0,Velocidad del viento,11.38,m/s,Punta Betin
42752,1,Velocidad del viento,12.28,m/s,Punta Betin
42752,2,Velocidad del viento,10.93,m/s,Punta Betin
42752,3,Velocidad del viento,10.82,m/s,Punta Betin
42752,4,Velocidad del viento,12.27,m/s,Punta Betin
42752,5,Velocidad del viento,14.12,m/s,Punta Betin
42752,6,Velocidad del viento,13.05,m/s,Punta Betin
42752,7,Velocidad del viento,11.37,m/s,Punta Betin
42752,8,Velocidad del viento,11.5,m/s,Punta Betin
42752,9,Velocidad del viento,11.68,m/s,Punta Betin
42752,10,Velocidad del viento,11.62,m/s,Punta Betin
42752,11,Velocidad del viento,9.97,m/s,Punta Betin
42752,12,Velocidad del viento,5.78,m/s,Punta Betin
42752,13,Velocidad del viento,7.72,m/s,Punta Betin
42752,14,Velocidad del viento,8.92,m/s,Punta Betin
42752,15,Velocidad del viento,9.9,m/s,Punta Betin
42752,16,Velocidad del viento,9.42,m/s,Punta Betin
42752,17,Velocidad del viento,8.35,m/s,Punta Betin
42752,18,Velocidad del viento,9.08,m/s,Punta Betin
42752,19,Velocidad del viento,9.15,m/s,Punta Betin
42752,20,Velocidad del viento,8.12,m/s,Punta Betin
42752,21,Velocidad del viento,8.88,m/s,Punta Betin
42752,22,Velocidad del viento,9.78,m/s,Punta Betin
42752,23,Velocidad del viento,9.43,m/s,Punta Betin
42753,0,Velocidad del viento,10.03,m/s,Punta Betin
42753,1,Velocidad del viento,8.9,m/s,Punta Betin
42753,2,Velocidad del viento,7.25,m/s,Punta Betin
42753,3,Velocidad del viento,7.73,m/s,Punta Betin
42753,4,Velocidad del viento,7.68,m/s,Punta Betin
42753,5,Velocidad del viento,8.1,m/s,Punta Betin
42753,6,Velocidad del viento,5.78,m/s,Punta Betin
42753,7,Velocidad del viento,3.8,m/s,Punta Betin
42753,8,Velocidad del viento,2.85,m/s,Punta Betin
42753,9,Velocidad del viento,3.12,m/s,Punta Betin
42753,10,Velocidad del viento,5.8,m/s,Punta Betin
42753,11,Velocidad del viento,7.98,m/s,Punta Betin
42753,12,Velocidad del viento,8.03,m/s,Punta Betin
42753,13,Velocidad del viento,7.78,m/s,Punta Betin
42753,14,Velocidad del viento,8.05,m/s,Punta Betin
42753,15,Velocidad del viento,7.88,m/s,Punta Betin
42753,16,Velocidad del viento,6.7,m/s,Punta Betin
42753,17,Velocidad del viento,8.2,m/s,Punta Betin
42753,18,Velocidad del viento,8.68,m/s,Punta Betin
42753,19,Velocidad del viento,7.67,m/s,Punta Betin
42753,20,Velocidad del viento,5.9,m/s,Punta Betin
42753,21,Velocidad del viento,5.82,m/s,Punta Betin
42753,22,Velocidad del viento,6.38,m/s,Punta Betin
42753,23,Velocidad del viento,5,m/s,Punta Betin
42754,0,Velocidad del viento,4.97,m/s,Punta Betin
42754,1,Velocidad del viento,3.88,m/s,Punta Betin
42754,2,Velocidad del viento,4.38,m/s,Punta Betin
42754,3,Velocidad del viento,4.33,m/s,Punta Betin
42754,4,Velocidad del viento,3.55,m/s,Punta Betin
42754,5,Velocidad del viento,2.12,m/s,Punta Betin
42754,6,Velocidad del viento,1.95,m/s,Punta Betin
42754,7,Velocidad del viento,5.23,m/s,Punta Betin
42754,8,Velocidad del viento,7.27,m/s,Punta Betin
42754,9,Velocidad del viento,5.65,m/s,Punta Betin
42754,10,Velocidad del viento,4.92,m/s,Punta Betin
42754,11,Velocidad del viento,5.93,m/s,Punta Betin
42754,12,Velocidad del viento,6.53,m/s,Punta Betin
42754,13,Velocidad del viento,6.95,m/s,Punta Betin
42754,14,Velocidad del viento,6.37,m/s,Punta Betin
42754,15,Velocidad del viento,5.77,m/s,Punta Betin
42754,16,Velocidad del viento,4.77,m/s,Punta Betin
42754,17,Velocidad del viento,4.33,m/s,Punta Betin
42754,18,Velocidad del viento,3.27,m/s,Punta Betin
42754,19,Velocidad del viento,3.43,m/s,Punta Betin
42754,20,Velocidad del viento,3.48,m/s,Punta Betin
42754,21,Velocidad del viento,2.6,m/s,Punta Betin
42754,22,Velocidad del viento,4.4,m/s,Punta Betin
42754,23,Velocidad del viento,3.2,m/s,Punta Betin
42755,0,Velocidad del viento,3.22,m/s,Punta Betin
42755,1,Velocidad del viento,3.02,m/s,Punta Betin
42755,2,Velocidad del viento,3.28,m/s,Punta Betin
42755,3,Velocidad del viento,2.43,m/s,Punta Betin
42755,4,Velocidad del viento,2.12,m/s,Punta Betin
42755,5,Velocidad del viento,2.12,m/s,Punta Betin
42755,6,Velocidad del viento,1.35,m/s,Punta Betin
42755,7,Velocidad del viento,1.75,m/s,Punta Betin
42755,8,Velocidad del viento,2.63,m/s,Punta Betin
42755,9,Velocidad del viento,3.78,m/s,Punta Betin
42755,10,Velocidad del viento,3.95,m/s,Punta Betin
42755,11,Velocidad del viento,3.23,m/s,Punta Betin
42755,12,Velocidad del viento,4.72,m/s,Punta Betin
42755,13,Velocidad del viento,6.52,m/s,Punta Betin
42755,14,Velocidad del viento,7.67,m/s,Punta Betin
42755,15,Velocidad del viento,5.4,m/s,Punta Betin
42755,16,Velocidad del viento,5.07,m/s,Punta Betin
42755,17,Velocidad del viento,4.3,m/s,Punta Betin
42755,18,Velocidad del viento,3.65,m/s,Punta Betin
42755,19,Velocidad del viento,3.87,m/s,Punta Betin
42755,20,Velocidad del viento,3.25,m/s,Punta Betin
42755,21,Velocidad del viento,5.08,m/s,Punta Betin
42755,22,Velocidad del viento,5.05,m/s,Punta Betin
42755,23,Velocidad del viento,4.13,m/s,Punta Betin
42756,0,Velocidad del viento,5.22,m/s,Punta Betin
